序號,問題,答案
1,可以到哪些稅務機關查詢被繼承人金融遺產呢？,"（一）自109年7月1日起民眾在辦理遺產稅申報前，可直接前往全國任一地區國稅局，除了查調被繼承人財產、各類所得等資料外，同時可透過國稅局單一窗口查詢各類金融遺產資料（存款、基金、上市（櫃）及興櫃有價證券、人身保險、金融機構貸款及信用卡債務等），收件成功後再通報金融機構，該機構查詢有結果會再另行回覆申請人（如查無金融遺產資料，金融機構得不回復申請人）。
（二）自109年8月10日起，民眾至本處未與國稅局合署辦公之中正、松山、中山、萬華及內湖分處，亦可一併申請查詢金融遺產，本處受理後再將申請書轉送國稅局通報金融機構。
（三）應附證明文件如下：
1.申請人（及代理人）身分證明文件（身分證及居留證等）
2.被繼承人死亡證明書或除戶資料正本
3.與被繼承人關係證明文件（如繼承系統表、遺囑正本或法院選任遺產管理人裁定書及確定證明書正本）
4.委託代理人申請須加附委任書或授權書正本"
2,不動產移轉，如何利用網路申報並辦理線上查欠？,民眾透過地方稅網路申報系統申報不動產移轉，並以電子檔傳送、郵寄、傳真或臨櫃遞送蓋妥義務人、權利人及代理人印章之申報書、契約書、印花稅繳納完竣證明及其他相關證明文件，經稅捐處審核無誤且查無以前年度欠稅費後，即匯出帶有職名章之土地增值稅、契稅繳款書電子檔供申報人下載列印。繳納稅款後即可直接至地政機關辦理移轉登記，全程免至稅捐處辦理申報及查欠。
3,受疫情影響可以申請延分期嗎？如何申請？,因應嚴重特殊傳染性肺炎疫情，本處已訂定地方稅延期或分期繳納處理措施，個人及營利事業經中央目的事業主管機關依紓困振興特別條例，提供紓困相關措施者或營利事業因疫情影響導致營業額減少15%以上，及房東因應疫情減收租金比例達15%者，均可至本處官網首頁「新冠肺炎稅捐ｅ專區」，或以書面、傳真及臨櫃向所屬分處申請延分期繳納。
4,便利超商繳稅限額?只能使用現金繳納嗎?,財政部自109年9月16日起，除提高便利超商繳稅限額為每筆新臺幣3萬元外，並開放使用「實體信用卡」、「行動支付」及「電子票證」等非現金支付工具臨櫃繳稅(實際開放工具或可使用發卡機構信用卡仍以各便利商店臨櫃收取為主)，到便利超商繳稅不以現金為限。
5,可以使用非本人之信用卡繳稅嗎？,自109年9月16日起開放非本人信用卡繳稅，但採網際網路申報自繳稅款除外。
6,目前繳納定期開徵之使用牌照稅、房屋稅及地價稅，哪些繳稅方式需自付手續費？,納稅義務人選擇任何繳稅方式均無須負擔手續費。
7,如果?有收到當年度定期開徵之使用牌照稅、房屋稅或地價稅稅單，是不是只能使用自然人憑證/工商憑證才能在便利商店補單繳納稅款？,您可持自然人憑證/工商憑證、已註冊之健保卡或已註冊內政部行動身分識別(TAIWAN FidO)之行動裝置（於開徵起日前5個日曆天至開徵迄日屆滿後2日23時）至四大便利商店(統一、全家、萊爾富及來來OK）之多媒體機kiosk進行查詢當年度定期開徵之稅目資訊，勾選列印繳納單並當日至店家櫃檯掃描條碼完成繳稅(使用牌照稅只需輸入納稅義務人身分證號碼/統一編號及車牌號碼，即可列印繳款條碼於店家櫃檯完成繳稅)，每筆金額限新臺幣3萬元以下(自109年9月16日起)，自110年起民眾如需繳納證明請向本處所屬分處申請。
8,如何以自然人憑證、健保卡或行動裝置進行線上查繳稅服務？,各項定期開徵之地方稅，可於定期開徵繳納起日前5日零時起至繳納迄日後2日24時止，至地方稅網路申報作業網站(網址:https://net.tax.nat.gov.tw/)點選「線上查繳稅」連結，以已註冊之健保卡或自然人憑證/工商憑證/金融憑證登入驗證，進行全國地方稅線上查繳稅服務。提醒第一次使用健保卡登入，須先到衛生福利部中央健康保險署「健保卡網路服務註冊」網站或本國籍人士可使用本人申辦之月租型手機門號及個人行動網路下載「全民健保行動快易通App」註冊，取得註冊密碼，再以健保卡插入電腦讀卡機，才能進行線上查繳稅服務。亦可使用已綁定自然人憑證之行動裝置(TAIWAN FidO)直接或透過個人電腦登入該網站辦理線上查繳稅服務。
9,信用卡、活期儲蓄存款帳戶及晶片金融卡是不是只能繳定期開徵的稅目？是不是也可以用行動支付來繳稅呢？,"（一）地價稅、房屋稅、使用牌照稅、土地增值稅、契稅、查定開徵之娛樂稅及違章案件均可透過電話語音、桌上型電腦或以行動裝置掃描繳款書QR-code進入網路繳稅服務網站(https://paytax.nat.gov.tw)即可繳納稅捐。
（二）民眾也可使用行動支付來繳稅，目前可繳稅的行動支付有：
1.以支援paytax繳稅網頁之行動支付繳稅APP(支付業者請詳閱本處官網:納稅資訊/繳稅與退稅/繳稅方式/行動支付工具繳稅)掃描繳款書上QR-Code繳納，目前適用地價稅、房屋稅、使用牌照稅及土地增值稅、契稅、各稅罰鍰。
2.以支援pay.taipei之行動支付繳稅業者APP(支付業者請詳閱本處官網:納稅資訊/繳稅與退稅/繳稅方式/行動支付工具繳稅)掃描繳款書上三段式條碼繳納，目前除移送案件、各稅違章罰鍰、印花稅彙總繳納、印花稅大額憑證及娛樂稅自動報繳等採網際網路申報自繳稅款案件及逾期案件無法使用外，本市其餘地方稅款均可繳納。"
10,如何以pay.taipei 線上繳納稅款？,"（一）請於行動裝置下載支援pay.taipei之繳稅業者App(支付業者請詳閱本處官網:納稅資訊/繳稅與退稅/繳稅方式/行動支付工具繳稅)，註冊成為支付App之會員並綁定付款方式後，點選繳稅費掃描稅單上的三段式條碼，依畫面操作並選擇支付工具（信用卡等），即可辦理線上繳稅。
（二）您亦可安裝pay.taipei平台App，在pay.taipei繳稅畫面選擇「繳地方稅」，掃描稅單上的三段式條碼後，選擇支付App（請先註冊成為支付App之會員並綁定付款方式）即可辦理線上繳稅。
（三）如需在pay.taipei平台查詢繳款紀錄，請先加入「台北通」會員並登入。"
