Date,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29,30
2023/08/01,727,820,1096,3802,4535,3811,3189,4942,760,12448,6882,14976,7412,3624,1773,790,2344,1702,1372,493,895,1567,3184,1289,1896,1914,950,2090,6181,705
2023/08/02,727,820,1096,3820,4555,3813,3192,4951,760,12491,6897,15032,7427,3636,1777,791,2351,1704,1372,494,900,1567,3189,1290,1897,1916,950,2093,6209,706
2023/08/03,727,822,1096,3826,4571,3815,3197,4967,761,12527,6908,15066,7433,3647,1780,792,2357,1710,1372,495,904,1568,3203,1291,1898,1921,951,2095,6233,707
2023/08/04,729,824,1098,3843,4587,3821,3200,4978,762,12557,6926,15099,7445,3658,1789,797,2362,1711,1379,495,905,1569,3211,1292,1899,1923,953,2098,6258,709
2023/08/05,731,824,1098,3843,4591,3826,3201,4983,764,12566,6937,15122,7449,3658,1794,798,2364,1715,1382,495,906,1570,3215,1293,1900,1927,953,2100,6270,709
2023/08/06,732,824,1099,3844,4595,3826,3203,4988,764,12578,6940,15134,7453,3667,1796,799,2370,1715,1386,496,908,1574,3218,1296,1902,1929,954,2101,6280,711
2023/08/07,733,828,1101,3852,4613,3828,3204,4993,766,12611,6949,15164,7466,3681,1799,800,2372,1716,1387,496,908,1576,3223,1297,1906,1929,955,2101,6303,712
2023/08/08,739,831,1105,3872,4624,3836,3209,5001,769,12646,6961,15199,7477,3694,1801,801,2374,1721,1388,496,910,1578,3224,1302,1909,1931,956,2102,6333,712
2023/08/09,740,834,1106,3881,4642,3838,3214,5015,772,12686,6971,15234,7491,3703,1805,801,2375,1723,1389,496,910,1582,3231,1306,1912,1933,957,2103,6358,714
2023/08/10,746,836,1109,3889,4654,3845,3223,5027,775,12720,6984,15279,7507,3719,1808,802,2380,1724,1391,496,912,1584,3241,1309,1915,1934,957,2107,6380,715
2023/08/11,746,840,1111,3896,4669,3847,3227,5036,776,12762,6997,15311,7518,3726,1809,802,2386,1727,1391,497,916,1586,3248,1315,1917,1936,958,2108,6400,716
2023/08/12,749,841,1112,3908,4675,3847,3228,5043,778,12777,6997,15337,7522,3731,1811,802,2391,1733,1394,497,919,1586,3252,1316,1920,1939,958,2111,6413,718
2023/08/13,751,845,1113,3910,4681,3851,3229,5044,778,12781,7005,15358,7531,3738,1815,802,2397,1733,1395,498,920,1587,3252,1319,1920,1940,958,2112,6421,720
2023/08/14,751,846,1115,3914,4699,3857,3234,5048,779,12815,7025,15385,7545,3749,1821,802,2400,1736,1400,499,920,1587,3257,1322,1923,1946,959,2118,6436,724
2023/08/15,752,850,1116,3920,4721,3865,3240,5055,781,12854,7037,15416,7556,3764,1822,803,2405,1737,1402,499,921,1587,3260,1326,1923,1948,961,2119,6448,725
2023/08/16,757,852,1117,3930,4737,3870,3245,5064,781,12884,7042,15452,7567,3774,1828,804,2407,1737,1402,499,921,1589,3261,1326,1924,1954,961,2119,6472,726
